table_type,subset,cohort,window_type,window_value,definition,phase_mode,assumption_based_historical,n_windows,n_classifiable,positives,false_positive_rate,wilson95_low,wilson95_high,indeterminate_rate,positive_rate_all_attempted,unstable_denominator,interpretation_note,n_participants,pattern_category,indeterminate_reason,n_indeterminate,p_prevalence_ge_39_1,p_prevalence_ge_44_2
window_false_positive,all,population,cycle,3,A_windowed_C1_or_C2,strict_herzog,False,50000,45206.0,18676.0,0.4131310003096934,0.40859952295986535,0.41767724009505924,0.09587999999999997,0.37352,False,,,,,,,
window_false_positive,all,population,cycle,6,A_windowed_C1_or_C2,strict_herzog,False,50000,47477.0,16312.0,0.3435768898624597,0.33931790483120877,0.3478611858577852,0.05045999999999995,0.32624,False,,,,,,,
window_false_positive,all,population,cycle,12,A_windowed_C1_or_C2,strict_herzog,False,50000,48720.0,12205.0,0.25051313628899835,0.24668529165030592,0.25438032074510075,0.025599999999999956,0.2441,False,,,,,,,
window_false_positive,all,population,full,full_diary,A_windowed_C1_or_C2,strict_herzog,False,50000,49587.0,5742.0,0.11579647891584488,0.11300983360734057,0.11864264739280506,0.008260000000000045,0.11484,False,,,,,,,
window_false_positive,all,healthy_ovulatory,calendar,1,A_windowed_C1_only,luteal_anchored_ovulatory,False,50000,36362.0,10326.0,0.283977779000055,0.2793660013582391,0.28863519509999735,0.27276,0.20652,False,,,,,,,
window_false_positive,all,healthy_ovulatory,calendar,3,A_windowed_C1_only,luteal_anchored_ovulatory,False,50000,44714.0,11487.0,0.25689940510801984,0.2528706262676325,0.2609699507642505,0.10572000000000004,0.22974,False,,,,,,,
window_false_positive,all,healthy_ovulatory,calendar,4,A_windowed_C1_only,luteal_anchored_ovulatory,False,50000,45809.0,10873.0,0.23735510489205178,0.23348110159854474,0.24127315433143826,0.08382,0.21746,False,,,,,,,
window_false_positive,all,healthy_ovulatory,calendar,6,A_windowed_C1_only,luteal_anchored_ovulatory,False,50000,47172.0,10011.0,0.2122233528364284,0.20855705120534582,0.21593652091887475,0.056560000000000055,0.20022,False,,,,,,,
window_false_positive,all,healthy_ovulatory,calendar,9,A_windowed_C1_only,luteal_anchored_ovulatory,False,50000,48068.0,8852.0,0.18415577931264043,0.18071596050154579,0.18764607684602677,0.03864000000000001,0.17704,False,,,,,,,
window_false_positive,all,healthy_ovulatory,calendar,12,A_windowed_C1_only,luteal_anchored_ovulatory,False,50000,48545.0,7581.0,0.15616438356164383,0.152962396860957,0.15942078269821777,0.029100000000000015,0.15162,False,,,,,,,
window_false_positive,all,healthy_ovulatory,calendar,18,A_windowed_C1_only,luteal_anchored_ovulatory,False,50000,49033.0,5948.0,0.12130605918463076,0.11844591202957226,0.12422553875735774,0.019340000000000024,0.11896,False,,,,,,,
window_false_positive,all,healthy_ovulatory,calendar,24,A_windowed_C1_only,luteal_anchored_ovulatory,False,50000,49272.0,4984.0,0.10115278454294528,0.09852136003566352,0.10384639591943386,0.014560000000000017,0.09968,False,,,,,,,
window_false_positive,all,healthy_ovulatory,calendar,36,A_windowed_C1_only,luteal_anchored_ovulatory,False,50000,49534.0,3587.0,0.07241490693261195,0.07016553571639847,0.0747305931306248,0.009319999999999995,0.07174,False,,,,,,,
window_false_positive,all,healthy_ovulatory,cycle,3,A_windowed_C1_only,luteal_anchored_ovulatory,False,50000,44393.0,11808.0,0.26598788097222537,0.2618979582402334,0.27011829973453166,0.11214000000000002,0.23616,False,,,,,,,
window_false_positive,all,healthy_ovulatory,cycle,6,A_windowed_C1_only,luteal_anchored_ovulatory,False,50000,47017.0,10346.0,0.2200480677201863,0.21632635394394667,0.22381552392834597,0.059660000000000046,0.20692,False,,,,,,,
window_false_positive,all,healthy_ovulatory,cycle,12,A_windowed_C1_only,luteal_anchored_ovulatory,False,50000,48466.0,7912.0,0.16324846283992903,0.15998474671509813,0.1665655571943506,0.03068000000000004,0.15824,False,,,,,,,
window_false_positive,all,healthy_ovulatory,full,full_diary,A_windowed_C1_only,luteal_anchored_ovulatory,False,50000,49534.0,3587.0,0.07241490693261195,0.07016553571639847,0.0747305931306248,0.009319999999999995,0.07174,False,,,,,,,
window_false_positive,all,healthy_ovulatory,calendar,1,A_windowed_C1_only,strict_herzog,False,50000,34611.0,10854.0,0.31359972263153335,0.3087327895558903,0.3185080280757617,0.30778000000000005,0.21708,False,,,,,,,
window_false_positive,all,healthy_ovulatory,calendar,3,A_windowed_C1_only,strict_herzog,False,50000,43896.0,12354.0,0.28143794423182067,0.2772503402002304,0.2856637988405929,0.12207999999999997,0.24708,False,,,,,,,
window_false_positive,all,healthy_ovulatory,calendar,4,A_windowed_C1_only,strict_herzog,False,50000,45118.0,11679.0,0.258854559155991,0.25483361394338483,0.2629165643187609,0.09763999999999995,0.23358,False,,,,,,,
window_false_positive,all,healthy_ovulatory,calendar,6,A_windowed_C1_only,strict_herzog,False,50000,46699.0,10697.0,0.2290627208291398,0.22527372858801342,0.2328962839943648,0.06601999999999997,0.21394,False,,,,,,,
