cohort,window_type,window_value,n_attempted,n_applicable,n_classifiable,positives,false_positive_rate_classifiable,wilson95_low,wilson95_high,positive_rate_all_attempted,indeterminate_reasons
population,calendar,1,50000,16125,7694,4409,0.5730439303353262,0.5619577527081885,0.584057205642512,0.08818,"{""missing_comparator_phase"": 2786, ""missing_numerator_phase"": 681, ""undefined_zero_over_zero"": 4964}"
population,calendar,12,50000,32166,27692,12190,0.44019933554817275,0.43436130920313953,0.44605395079448806,0.2438,"{""missing_comparator_phase"": 559, ""undefined_zero_over_zero"": 3915}"
population,calendar,18,50000,35911,31392,13007,0.41434123343527013,0.4089027465860342,0.41980068195389286,0.26014,"{""missing_comparator_phase"": 440, ""undefined_zero_over_zero"": 4079}"
population,calendar,24,50000,38869,34347,13563,0.394881649052319,0.38972407559250183,0.4000627333083388,0.27126,"{""missing_comparator_phase"": 324, ""undefined_zero_over_zero"": 4198}"
population,calendar,3,50000,22097,16052,8598,0.5356341888861201,0.5279113709998727,0.5433399553746484,0.17196,"{""missing_comparator_phase"": 1769, ""missing_numerator_phase"": 9, ""undefined_zero_over_zero"": 4267}"
population,calendar,36,50000,43792,38538,14296,0.3709585344335461,0.36614874618045556,0.3757940457687403,0.28592,"{""missing_comparator_phase"": 948, ""undefined_zero_over_zero"": 4306}"
population,calendar,4,50000,24113,18655,9724,0.5212543554006969,0.5140822254274203,0.5284177337340378,0.19448,"{""missing_comparator_phase"": 1351, ""undefined_zero_over_zero"": 4107}"
population,calendar,6,50000,26716,21817,10697,0.4903057248934317,0.4836745732425315,0.4969402898094608,0.21394,"{""missing_comparator_phase"": 937, ""undefined_zero_over_zero"": 3962}"
population,calendar,9,50000,29699,25221,11651,0.4619563062527259,0.4558097180075603,0.4681144817487495,0.23302,"{""missing_comparator_phase"": 668, ""undefined_zero_over_zero"": 3810}"
population,cycle,12,50000,31069,27466,11813,0.43009539066482194,0.4242504737001738,0.43595985893838757,0.23626,"{""undefined_zero_over_zero"": 3603}"
population,cycle,3,50000,19723,16255,8667,0.533189787757613,0.5255133721705694,0.5408505199144122,0.17334,"{""missing_numerator_phase"": 10, ""undefined_zero_over_zero"": 3458}"
population,cycle,6,50000,25329,21796,10436,0.4788034501743439,0.47217585145471447,0.4854385191935577,0.20872,"{""missing_numerator_phase"": 1, ""undefined_zero_over_zero"": 3532}"
population,full,full_diary,50000,43792,38538,14296,0.3709585344335461,0.36614874618045556,0.3757940457687403,0.28592,"{""missing_comparator_phase"": 948, ""undefined_zero_over_zero"": 4306}"
