cohort,feature,level,outcome,n_group,n_classifiable,positives,rate,wilson95_low,wilson95_high,interpretation_scope
healthy_ovulatory,seizures_per_month,"(8.694, 263.444]",label_A_windowed_any,9978,9978,698,0.06995389857686911,0.06511285163377496,0.07512594744910271,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizures_per_month,"(8.694, 263.444]",label_A_windowed_C1_or_C2,9978,9978,698,0.06995389857686911,0.06511285163377496,0.07512594744910271,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,mean_cycle_length,"(22.121, 27.3]",label_A_windowed_any,10025,9938,1118,0.11249748440330046,0.10643427457369341,0.11886015082004901,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,mean_cycle_length,"(22.121, 27.3]",label_A_windowed_C1_or_C2,10025,9938,1118,0.11249748440330046,0.10643427457369341,0.11886015082004901,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,mean_cycle_length,"(27.3, 28.579]",label_A_windowed_any,10191,10111,1155,0.11423202452774206,0.10817779014130705,0.1205792762191249,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,mean_cycle_length,"(27.3, 28.579]",label_A_windowed_C1_or_C2,10191,10111,1155,0.11423202452774206,0.10817779014130705,0.1205792762191249,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,mean_cycle_length,"(28.579, 29.649]",label_A_windowed_any,9962,9883,1129,0.11423656784377213,0.10811447140423561,0.12065843531641965,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,mean_cycle_length,"(28.579, 29.649]",label_A_windowed_C1_or_C2,9962,9883,1129,0.11423656784377213,0.10811447140423561,0.12065843531641965,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,mean_cycle_length,"(29.649, 30.914]",label_A_windowed_any,9990,9920,1123,0.11320564516129032,0.10711976132257489,0.11959098049615377,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,mean_cycle_length,"(29.649, 30.914]",label_A_windowed_C1_or_C2,9990,9920,1123,0.11320564516129032,0.10711976132257489,0.11959098049615377,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,mean_cycle_length,"(30.914, 41.148]",label_A_windowed_any,9832,9753,1140,0.1168871116579514,0.11066109740770173,0.1234148039441627,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,mean_cycle_length,"(30.914, 41.148]",label_A_windowed_C1_or_C2,9832,9753,1140,0.1168871116579514,0.11066109740770173,0.1234148039441627,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,sd_cycle_length,"(1.106, 2.797]",label_A_windowed_any,10000,9920,1124,0.11330645161290323,0.10721810996944964,0.11969416670937319,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,sd_cycle_length,"(1.106, 2.797]",label_A_windowed_C1_or_C2,10000,9920,1124,0.11330645161290323,0.10721810996944964,0.11969416670937319,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,sd_cycle_length,"(2.797, 3.168]",label_A_windowed_any,10001,9923,1154,0.11629547515872216,0.11013587048232584,0.12275204944778054,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,sd_cycle_length,"(2.797, 3.168]",label_A_windowed_C1_or_C2,10001,9923,1154,0.11629547515872216,0.11013587048232584,0.12275204944778054,Association between simulator inputs/realizations and simulated classification
