table_type,subset,cohort,window_type,window_value,definition,phase_mode,assumption_based_historical,n_windows,n_classifiable,positives,false_positive_rate,wilson95_low,wilson95_high,indeterminate_rate,p_prevalence_ge_39_1,p_prevalence_ge_44_2
window_false_positive,all,healthy_ovulatory,calendar,6,A_windowed_excluding_C3,strict_herzog,False,50,45,20.0,0.4444444444444444,0.3093893003499759,0.5882386550647896,0.09999999999999998,,
window_false_positive,all,healthy_ovulatory,calendar,12,A_windowed_excluding_C3,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,cycle,3,A_windowed_excluding_C3,strict_herzog,False,50,43,20.0,0.46511627906976744,0.32511057704121815,0.6108435952768602,0.14,,
window_false_positive,all,healthy_ovulatory,cycle,6,A_windowed_excluding_C3,strict_herzog,False,50,35,15.0,0.42857142857142855,0.2798456817718068,0.5914258885602508,0.30000000000000004,,
window_false_positive,all,healthy_ovulatory,cycle,12,A_windowed_excluding_C3,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,full,full_diary,A_windowed_excluding_C3,strict_herzog,False,50,45,20.0,0.4444444444444444,0.3093893003499759,0.5882386550647896,0.09999999999999998,,
window_false_positive,all,population,calendar,1,A_windowed_excluding_C3,strict_herzog,False,50,39,24.0,0.6153846153846154,0.45899061456925083,0.7510862653443866,0.21999999999999997,,
window_false_positive,all,population,calendar,3,A_windowed_excluding_C3,strict_herzog,False,50,46,29.0,0.6304347826086957,0.48600096423389705,0.7547624540916037,0.07999999999999996,,
window_false_positive,all,population,calendar,4,A_windowed_excluding_C3,strict_herzog,False,50,46,29.0,0.6304347826086957,0.48600096423389705,0.7547624540916037,0.07999999999999996,,
window_false_positive,all,population,calendar,6,A_windowed_excluding_C3,strict_herzog,False,50,47,27.0,0.574468085106383,0.4328191934549279,0.7048637165632003,0.06000000000000005,,
window_false_positive,all,population,calendar,12,A_windowed_excluding_C3,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,population,cycle,3,A_windowed_excluding_C3,strict_herzog,False,50,45,30.0,0.6666666666666666,0.5207048830990042,0.7864112506566996,0.09999999999999998,,
window_false_positive,all,population,cycle,6,A_windowed_excluding_C3,strict_herzog,False,50,18,11.0,0.6111111111111112,0.3861904160223791,0.7969475342783638,0.64,,
window_false_positive,all,population,cycle,12,A_windowed_excluding_C3,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,population,full,full_diary,A_windowed_excluding_C3,strict_herzog,False,50,47,27.0,0.574468085106383,0.4328191934549279,0.7048637165632003,0.06000000000000005,,
window_false_positive,all,healthy_ovulatory,calendar,1,A_windowed_C1_only,strict_herzog,False,50,30,16.0,0.5333333333333333,0.36142299619873297,0.6976761109230025,0.4,,
window_false_positive,all,healthy_ovulatory,calendar,3,A_windowed_C1_only,strict_herzog,False,50,40,13.0,0.325,0.200845022317827,0.47982253810122333,0.19999999999999996,,
window_false_positive,all,healthy_ovulatory,calendar,4,A_windowed_C1_only,strict_herzog,False,50,42,16.0,0.38095238095238093,0.24999725763955144,0.5318595973284732,0.16000000000000003,,
window_false_positive,all,healthy_ovulatory,calendar,6,A_windowed_C1_only,strict_herzog,False,50,43,16.0,0.37209302325581395,0.2437633900965057,0.5214019084031153,0.14,,
window_false_positive,all,healthy_ovulatory,calendar,12,A_windowed_C1_only,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,cycle,3,A_windowed_C1_only,strict_herzog,False,50,41,14.0,0.34146341463414637,0.21558808257384848,0.494501634801703,0.18000000000000005,,
window_false_positive,all,healthy_ovulatory,cycle,6,A_windowed_C1_only,strict_herzog,False,50,34,12.0,0.35294117647058826,0.21487920594879492,0.5208603688021826,0.31999999999999995,,
window_false_positive,all,healthy_ovulatory,cycle,12,A_windowed_C1_only,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,full,full_diary,A_windowed_C1_only,strict_herzog,False,50,43,16.0,0.37209302325581395,0.2437633900965057,0.5214019084031153,0.14,,
