panel,pattern,cohort,phase_mode,window_type,window_value,threshold,n_attempted,n_applicable,n_defined,n_undefined,n_at_or_above,pct_defined_at_or_above
A,C1,healthy_ovulatory,strict_herzog,cycle,3,0.0,50000,50000,43579,6421,43579,100.0
A,C1,healthy_ovulatory,strict_herzog,cycle,3,1.0,50000,50000,43579,6421,19691,45.18460726496707
A,C1,healthy_ovulatory,strict_herzog,cycle,3,1.69,50000,50000,43579,6421,11943,27.405401684297484
A,C1,healthy_ovulatory,strict_herzog,cycle,3,2.0,50000,50000,43579,6421,10740,24.644897771862595
A,C1,healthy_ovulatory,strict_herzog,cycle,3,3.0,50000,50000,43579,6421,6110,14.020514467977696
A,C1,healthy_ovulatory,strict_herzog,cycle,3,4.0,50000,50000,43579,6421,4695,10.773537713118705
A,C1,healthy_ovulatory,strict_herzog,cycle,3,5.0,50000,50000,43579,6421,3380,7.7560292801578745
A,C1,healthy_ovulatory,strict_herzog,cycle,3,6.0,50000,50000,43579,6421,3128,7.177769108974506
A,C1,healthy_ovulatory,strict_herzog,cycle,3,7.0,50000,50000,43579,6421,2915,6.689001583331421
A,C1,healthy_ovulatory,strict_herzog,cycle,3,8.0,50000,50000,43579,6421,2526,5.796369811147571
A,C1,healthy_ovulatory,strict_herzog,cycle,3,9.0,50000,50000,43579,6421,2436,5.589848321439225
A,C1,healthy_ovulatory,strict_herzog,cycle,3,10.0,50000,50000,43579,6421,2269,5.206636223869295
A,C1,population,strict_herzog,cycle,3,0.0,50000,50000,43586,6414,43586,100.0
A,C1,population,strict_herzog,cycle,3,1.0,50000,50000,43586,6414,19605,44.98003946221264
A,C1,population,strict_herzog,cycle,3,1.69,50000,50000,43586,6414,11890,27.279401642729315
A,C1,population,strict_herzog,cycle,3,2.0,50000,50000,43586,6414,10729,24.61570228972606
A,C1,population,strict_herzog,cycle,3,3.0,50000,50000,43586,6414,6109,14.01596843022989
A,C1,population,strict_herzog,cycle,3,4.0,50000,50000,43586,6414,4734,10.861285733951268
A,C1,population,strict_herzog,cycle,3,5.0,50000,50000,43586,6414,3472,7.965860597439545
A,C1,population,strict_herzog,cycle,3,6.0,50000,50000,43586,6414,3198,7.337218372872023
A,C1,population,strict_herzog,cycle,3,7.0,50000,50000,43586,6414,2984,6.846235029596659
A,C1,population,strict_herzog,cycle,3,8.0,50000,50000,43586,6414,2597,5.95833524526224
A,C1,population,strict_herzog,cycle,3,9.0,50000,50000,43586,6414,2518,5.777084384894232
A,C1,population,strict_herzog,cycle,3,10.0,50000,50000,43586,6414,2348,5.387050887899784
B,C2,healthy_ovulatory,strict_herzog,cycle,3,0.0,50000,50000,43958,6042,43958,100.0
B,C2,healthy_ovulatory,strict_herzog,cycle,3,1.0,50000,50000,43958,6042,19966,45.4206287820192
B,C2,healthy_ovulatory,strict_herzog,cycle,3,1.83,50000,50000,43958,6042,11480,26.11583784521589
B,C2,healthy_ovulatory,strict_herzog,cycle,3,2.0,50000,50000,43958,6042,10423,23.711269848491742
B,C2,healthy_ovulatory,strict_herzog,cycle,3,3.0,50000,50000,43958,6042,6571,14.948359797988989
B,C2,healthy_ovulatory,strict_herzog,cycle,3,4.0,50000,50000,43958,6042,4826,10.978661449565495
B,C2,healthy_ovulatory,strict_herzog,cycle,3,5.0,50000,50000,43958,6042,3911,8.89712907775604
B,C2,healthy_ovulatory,strict_herzog,cycle,3,6.0,50000,50000,43958,6042,3446,7.839301151098776
B,C2,healthy_ovulatory,strict_herzog,cycle,3,7.0,50000,50000,43958,6042,3102,7.056735975249102
B,C2,healthy_ovulatory,strict_herzog,cycle,3,8.0,50000,50000,43958,6042,2921,6.64497929842122
B,C2,healthy_ovulatory,strict_herzog,cycle,3,9.0,50000,50000,43958,6042,2814,6.401565130351699
B,C2,healthy_ovulatory,strict_herzog,cycle,3,10.0,50000,50000,43958,6042,2709,6.162700759816188
B,C2,population,strict_herzog,cycle,3,0.0,50000,50000,44034,5966,44034,100.0
B,C2,population,strict_herzog,cycle,3,1.0,50000,50000,44034,5966,20515,46.58899940954717
B,C2,population,strict_herzog,cycle,3,1.83,50000,50000,44034,5966,11664,26.488622428123723
B,C2,population,strict_herzog,cycle,3,2.0,50000,50000,44034,5966,10635,24.151791797247583
B,C2,population,strict_herzog,cycle,3,3.0,50000,50000,44034,5966,6776,15.388109188354454
B,C2,population,strict_herzog,cycle,3,4.0,50000,50000,44034,5966,5101,11.58423036744334
B,C2,population,strict_herzog,cycle,3,5.0,50000,50000,44034,5966,4178,9.488122814189035
B,C2,population,strict_herzog,cycle,3,6.0,50000,50000,44034,5966,3699,8.400327020029977
B,C2,population,strict_herzog,cycle,3,7.0,50000,50000,44034,5966,3382,7.680428759594858
B,C2,population,strict_herzog,cycle,3,8.0,50000,50000,44034,5966,3153,7.160376073034473
B,C2,population,strict_herzog,cycle,3,9.0,50000,50000,44034,5966,3033,6.88785938138711
B,C2,population,strict_herzog,cycle,3,10.0,50000,50000,44034,5966,2923,6.638052414043694
C,C3,population,strict_herzog,cycle,3,0.0,50000,19759,16322,3437,16322,100.0
C,C3,population,strict_herzog,cycle,3,1.0,50000,19759,16322,3437,10183,62.38818772209288
C,C3,population,strict_herzog,cycle,3,1.62,50000,19759,16322,3437,8714,53.3880651880897
C,C3,population,strict_herzog,cycle,3,2.0,50000,19759,16322,3437,8252,50.55752971449577
C,C3,population,strict_herzog,cycle,3,3.0,50000,19759,16322,3437,7658,46.918269819875015
